timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;300.84;flow_0.0;172425925_0;1.70;0.00;0.00;vehDist74;13.429740;52.498311
1.00;300.84;flow_0.0;172425925_0;2.41;0.00;0.71;vehDist74;13.429731;52.498314
2.00;300.84;flow_0.0;172425925_0;3.86;0.00;1.45;vehDist74;13.429712;52.498320
3.00;300.84;flow_0.0;172425925_0;6.17;0.00;2.31;vehDist74;13.429683;52.498331
4.00;300.84;flow_0.0;172425925_0;9.16;0.00;2.99;vehDist74;13.429644;52.498344
5.00;300.84;flow_0.0;172425925_0;13.09;0.00;3.93;vehDist74;13.429594;52.498361
6.00;300.84;flow_0.0;172425925_0;17.98;0.00;4.89;vehDist74;13.429531;52.498383
7.00;300.84;flow_0.0;172425925_0;23.50;0.00;5.52;vehDist74;13.429461;52.498408
8.00;300.84;flow_0.0;172425925_0;29.96;0.00;6.45;vehDist74;13.429378;52.498436
9.00;300.84;flow_0.0;172425925_0;37.43;0.00;7.47;vehDist74;13.429282;52.498469
10.00;300.84;flow_0.0;172425925_0;45.17;0.00;7.74;vehDist74;13.429183;52.498504
11.00;300.84;flow_0.0;172425925_0;53.42;0.00;8.25;vehDist74;13.429078;52.498540
12.00;300.84;flow_0.0;172425925_0;61.53;0.00;8.11;vehDist74;13.428974;52.498576
13.00;300.84;flow_0.0;172425925_0;69.57;0.00;8.04;vehDist74;13.428871;52.498612
14.00;300.84;flow_0.0;172425925_0;77.60;0.00;8.03;vehDist74;13.428768;52.498648
15.00;300.84;flow_0.0;172425925_0;85.36;0.00;7.75;vehDist74;13.428669;52.498682
16.00;300.62;flow_0.0;241020237#0_0;0.31;0.00;8.30;vehDist74;13.428561;52.498719
17.00;299.83;flow_0.0;241020237#0_0;8.05;0.00;7.74;vehDist74;13.428461;52.498753
18.00;299.83;flow_0.0;241020237#0_0;15.86;0.00;7.81;vehDist74;13.428360;52.498786
19.00;299.83;flow_0.0;241020237#0_0;23.64;0.00;7.78;vehDist74;13.428260;52.498820
20.00;299.83;flow_0.0;241020237#0_0;31.92;0.00;8.28;vehDist74;13.428153;52.498855
21.00;299.83;flow_0.0;241020237#0_0;39.98;0.00;8.06;vehDist74;13.428048;52.498890
22.00;299.81;flow_0.0;241020237#0_0;48.20;0.00;8.22;vehDist74;13.427942;52.498925
23.00;299.81;flow_0.0;241020237#0_0;56.45;0.00;8.25;vehDist74;13.427835;52.498961
24.00;300.06;flow_0.0;241020237#1_0;3.02;0.00;8.23;vehDist74;13.427729;52.498996
25.00;300.03;flow_0.0;:27555216_0_0;2.04;0.00;8.27;vehDist74;13.427623;52.499032
26.00;299.07;flow_0.0;241020237#3_0;3.65;0.00;6.91;vehDist74;13.427532;52.499062
27.00;299.07;flow_0.0;241020237#3_0;7.56;0.00;3.91;vehDist74;13.427481;52.499079
28.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.91;vehDist74;13.427469;52.499083
29.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
30.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
31.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
32.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
33.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
34.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
35.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
36.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
37.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
38.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
39.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
40.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
41.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
42.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
43.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
44.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
45.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
46.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
47.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
48.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
49.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
50.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
51.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
52.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
53.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
54.00;298.86;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;0.10;0.00;1.10;vehDist74;13.427455;52.499087
55.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;1.98;0.00;1.88;vehDist74;13.427429;52.499094
56.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;4.99;0.00;3.01;vehDist74;13.427389;52.499105
57.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;9.17;0.00;4.18;vehDist74;13.427333;52.499121
58.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;13.97;0.00;4.80;vehDist74;13.427269;52.499139
59.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;19.69;0.00;5.72;vehDist74;13.427192;52.499160
60.00;293.55;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;26.17;0.00;6.48;vehDist74;13.427104;52.499183
61.00;293.55;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;33.40;0.00;7.23;vehDist74;13.427006;52.499208
62.00;293.55;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;41.24;0.00;7.84;vehDist74;13.426899;52.499234
63.00;293.55;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;49.32;0.00;8.08;vehDist74;13.426789;52.499262
